0	>gb|GQ343019|+|132-1023|ARO:3002999|CblA-1 [mixed culture bacterium AX_gF3SD01_15]
1	>gb|HQ845196|+|0-861|ARO:3001109|SHV-52 [Klebsiella pneumoniae]
2	>gb|AF028812|+|392-887|ARO:3002867|dfrF [Enterococcus faecalis]
3	>gb|JX017365|+|244-1120|ARO:3001989|CTX-M-130 [Escherichia coli]
4	>gb|JN967644|+|0-813|ARO:3002356|NDM-6 [Escherichia coli]
5	>gb|LC004922|+|0-1146|ARO:3001855|ACT-35 [Enterobacter cloacae]
6	>gb|AF135373|+|11-908|ARO:3002244|CARB-5 [Acinetobacter calcoaceticus subsp. anitratus]
7	>gb|AY234334|+|0-846|ARO:3000600|Erm(34) [Bacillus clausii]
8	>gb|AY628199|+|203-1064|ARO:3000988|TEM-126 [Escherichia coli]
9	>gb|EU408351|+|16572-17454|ARO:3002511|LRA-12 [uncultured bacterium BLR12]
10	>gb|AF157553|+|147-1008|ARO:3000938|TEM-72 [Morganella morganii]
11	>gb|AF062386|+|30-862|ARO:3000928|TEM-59 [Klebsiella oxytoca]
12	>gb|GQ140348|+|0-882|ARO:3002320|KPC-10 [Acinetobacter baumannii]
13	>gb|JN861780|+|0-825|ARO:3001711|OXA-212 [Acinetobacter johnsonii]
14	>gb|AJ243491|+|0-741|ARO:3002193|IMP-2 [Acinetobacter baumannii]
15	>gb|X92508|+|332-1481|ARO:3002012|CMY-1 [Klebsiella pneumoniae]
16	>gb|KF203103|+|0-822|ARO:3001517|OXA-329 [Acinetobacter calcoaceticus]
17	>gb|JN848330|+|0-1146|ARO:3001832|ACT-10 [Serratia marcescens]
18	>gb|AB871653|+|11870-12695|ARO:3001557|OXA-371 [Acinetobacter baumannii]
19	>gb|AY047358|+|1710-2352|ARO:3003552|fusB [Staphylococcus aureus]
20	>gb|JN790862|+|244-1120|ARO:3001980|CTX-M-121 [Escherichia coli]
21	>gb|AY536519|+|37-937|ARO:3002372|VEB-3 [Enterobacter cloacae]
22	>gb|AM399080|-|1664-2150|ARO:3002835|lnuA [Staphylococcus chromogenes]
23	>gb|AJ519683|+|281-1076|ARO:3001794|OXA-45 [Pseudomonas aeruginosa]
24	>gb|FJ617207|+|0-828|ARO:3001800|OXA-226 [Pseudomonas aeruginosa]
25	>gb|KM211508|+|0-876|ARO:3003163|CTX-M-155 [Klebsiella pneumoniae]
26	>gb|KM087853|+|0-1140|ARO:3002146|DHA-15 [Klebsiella pneumoniae]
27	>gb|NC_007682|+|20649-22125|ARO:3003109|msrE [Escherichia coli]
28	>gb|AJ871876|+|0-876|ARO:3002415|OXY-6-3 [Klebsiella oxytoca]
29	>gb|EU487198|+|216-642|ARO:3002804|FosA2 [Enterobacter cloacae]
30	>gb|K00432|+|306-1113|ARO:3002649|APH(3')-Va [Streptomyces fradiae]
31	>gb|U12338|+|5055-5520|ARO:3002528|AAC(3)-Ia [Pseudomonas aeruginosa]
32	>gb|JX259319|+|0-681|ARO:3002771|QnrB58 [Citrobacter freundii]
33	>gb|KC544262|+|665-1424|ARO:3003198|rmtH [Klebsiella pneumoniae]
34	>gb|AJ871874|+|0-876|ARO:3002413|OXY-6-1 [Klebsiella oxytoca]
35	>gb|NC_003197|+|400859-401324|ARO:3000504|golS [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
36	>gb|AP009048|-|4303042-4304509|ARO:3003550|mdtP [Escherichia coli str. K-12 substr. W3110]
37	>gb|KM087846|+|0-1146|ARO:3002125|CMY-114 [Citrobacter freundii]
38	>gb|AF525303|+|2770-3586|ARO:3001808|OXA-60 [Ralstonia pickettii]
39	>gb|AM231719|+|0-825|ARO:3001650|OXA-90 [Acinetobacter baumannii]
40	>gb|AF275256|+|0-885|ARO:3002380|SME-2 [Serratia marcescens]
41	>gb|L06161|+|105-945|ARO:3002538|AAC(3)-IIIc [Pseudomonas aeruginosa]
42	>gb|AF473577|+|0-873|ARO:3002397|OXY-2-2 [Klebsiella oxytoca]
